Date,Open,High,Low,Close,Adj Close,Volume
03-02-2022,1779,1779,1734,1738.550049,1720.331055,3832922
04-02-2022,1732,1753.949951,1710.150024,1741.099976,1722.854248,4700077
07-02-2022,1722.199951,1732,1695.400024,1715,1697.02771,4310209
08-02-2022,1710,1725,1696,1717.300049,1699.303711,6053401
09-02-2022,1735,1743,1725,1737.300049,1719.094116,3867244
10-02-2022,1755.650024,1773.900024,1748.75,1769.599976,1751.055542,4334630
11-02-2022,1740,1745.949951,1713,1721.349976,1703.311157,7551371
14-02-2022,1690,1718.550049,1678.25,1682.199951,1664.571411,7459637
15-02-2022,1699,1746.75,1690.449951,1738.25,1720.034058,4669915
16-02-2022,1738.25,1755.449951,1726.849976,1733.300049,1715.135986,5350642
17-02-2022,1744,1749,1720.300049,1724.800049,1706.725098,3937950
18-02-2022,1710,1722.5,1703.5,1706.949951,1689.062012,5602215
21-02-2022,1701,1737.300049,1691.5,1730.699951,1712.56311,5120890
22-02-2022,1699.900024,1751,1691.050049,1734.349976,1716.174927,8878515
23-02-2022,1750,1758.25,1733.400024,1742.849976,1724.585815,5478811
24-02-2022,1690.099976,1714.949951,1670.5,1678.150024,1660.563965,13592379
25-02-2022,1715,1728.150024,1677,1694.599976,1676.841553,9737281
28-02-2022,1682.199951,1728.050049,1665,1715.599976,1697.62146,15076542
02-03-2022,1710,1714.400024,1691,1702.800049,1684.955688,6771489
03-03-2022,1720.199951,1733.900024,1705.550049,1720.849976,1702.816406,7344147
04-03-2022,1695.25,1736,1681,1723.300049,1705.240845,9074499
07-03-2022,1697,1751,1696,1739.849976,1721.61731,9742588
08-03-2022,1718.449951,1800,1718.449951,1778.199951,1759.56543,10984500
09-03-2022,1791,1831.599976,1791,1813.349976,1794.347046,10193515
10-03-2022,1844.75,1844.75,1810.199951,1825.900024,1806.765625,6547182
11-03-2022,1814,1831.400024,1811,1822,1802.906494,4758657
14-03-2022,1831.550049,1895,1831.550049,1890.699951,1870.886475,10289724
15-03-2022,1888.349976,1888.349976,1830,1839.300049,1820.025146,7140443
16-03-2022,1865,1893.949951,1849,1889.400024,1869.600098,5233979
17-03-2022,1923.300049,1923.300049,1833.050049,1854.599976,1835.164795,17731459
21-03-2022,1861,1886.900024,1841.099976,1853.050049,1833.631104,8362085
22-03-2022,1850,1890,1839,1887.400024,1867.621094,5709382
23-03-2022,1897,1900,1857,1872.400024,1852.77832,6192824
24-03-2022,1856.150024,1894.599976,1856.150024,1886.699951,1866.928345,3784303
25-03-2022,1892,1894,1858,1876.550049,1856.884888,3438588
28-03-2022,1866,1880.900024,1852.650024,1873.900024,1854.262573,4008555
29-03-2022,1873.900024,1889.400024,1860.550049,1886,1866.235718,3917785
30-03-2022,1910,1919,1895,1903.949951,1883.997559,7795839
31-03-2022,1900,1913,1894.199951,1906.849976,1886.867188,5399145
01-04-2022,1886.849976,1910.300049,1878.300049,1903.550049,1883.601929,6171518
04-04-2022,1889.75,1893,1873,1882.949951,1863.217651,7364074
05-04-2022,1883.800049,1889.599976,1857.150024,1861.099976,1841.59668,5472024
06-04-2022,1855,1857.5,1822.150024,1828.849976,1809.684692,5407453
07-04-2022,1821.050049,1828.150024,1807.550049,1811,1792.021729,5797544
08-04-2022,1823,1838,1808,1814.599976,1795.583984,5131446
11-04-2022,1814,1814,1762.550049,1766.550049,1748.037598,8248407
